"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     
          0,           0,         304,        -9.7219269,      -9.843353056,      -9.852700861,       -9.18258291
          0,           0,         305,      -9.721923768,      -9.843332674,      -9.852666527,      -9.182580638
          0,           0,         306,      -9.721920684,      -9.843312728,       -9.85263292,      -9.182578325
          0,           0,         307,      -9.721917646,      -9.843293207,      -9.852600025,      -9.182575976
          0,           0,         308,      -9.721914655,      -9.843274104,      -9.852567828,      -9.182573594
          0,           0,         309,      -9.721911711,      -9.843255409,      -9.852536313,      -9.182571184
          0,           0,         310,      -9.721908812,      -9.843237113,      -9.852505465,       -9.18256875
          0,           0,         311,       -9.72190596,      -9.843219208,      -9.852475272,      -9.182566296
          0,           0,         312,      -9.721903154,      -9.843201684,      -9.852445719,      -9.182563828
          0,           0,         313,      -9.721900393,      -9.843184534,      -9.852416793,      -9.182561348
          0,           0,         314,      -9.721897677,      -9.843167749,      -9.852388481,       -9.18255886
          0,           0,         315,      -9.721895005,      -9.843151322,      -9.852360769,      -9.182556368
          0,           0,         316,      -9.721892379,      -9.843135244,      -9.852333645,      -9.182553878
          0,           0,         317,      -9.721889796,      -9.843119509,      -9.852307097,      -9.182551389
          0,           0,         318,      -9.721887257,      -9.843104109,      -9.852281112,      -9.182548905
          0,           0,         319,       -9.72188476,      -9.843089037,       -9.85225568,      -9.182546426
          0,           0,         320,      -9.721882306,      -9.843074285,      -9.852230788,      -9.182543953
          0,           0,         321,      -9.721879894,      -9.843059848,      -9.852206426,      -9.182541489
          0,           0,         322,      -9.721877523,      -9.843045717,      -9.852182581,      -9.182539035
          0,           0,         323,      -9.721875193,      -9.843031887,      -9.852159244,      -9.182536592
          0,           0,         324,      -9.721872903,      -9.843018351,      -9.852136403,      -9.182534162
          0,           0,         325,      -9.721870652,      -9.843005102,      -9.852114048,      -9.182531747
          0,           0,         326,       -9.72186844,      -9.842992136,      -9.852092168,      -9.182529349
          0,           0,         327,      -9.721866266,      -9.842979444,      -9.852070755,      -9.182526968
          0,           0,         328,      -9.721864129,      -9.842967023,      -9.852049797,      -9.182524606
          0,           0,         329,       -9.72186203,      -9.842954865,      -9.852029285,      -9.182522265
